NAME	PHASE
AA490946	G2/M
FLJ20259	G2/M
CTL2	G2/M
W73732	G2/M
INSM1	G2/M
AA775033	G2/M
AA699928	G2/M
AA705332	G2/M
E2IG4	G2/M
ABCC1	G2/M
APACD	G2/M
ARHGAP8	G2/M
ARL6IP	G2/M
B4GALT1	G2/M
BK1048E9.5	G2/M
CCNB1	G2/M
CCNB2	G2/M
CNAP1	G2/M
CTNNA1	G2/M
D21S2056E	G2/M
DEEPEST	G2/M
DKFZP434C245	G2/M
DKFZp547O146	G2/M
DKFZP564D0764	G2/M
ERN2	G2/M
FEM1B	G2/M
FGA	G2/M
FLJ10156	G2/M
FLJ10342	G2/M
FLJ10392	G2/M
FLJ10461	G2/M
FLJ10540	G2/M
FLJ10688	G2/M
FLJ11252	G2/M
FLJ11264	G2/M
FLJ12890	G2/M
FLJ14502	G2/M
FLJ20039	G2/M
FLJ20069	G2/M
FLJ20354	G2/M
FLJ20364	G2/M
FLJ20552	G2/M
FLJ22009	G2/M
FLJ22313	G2/M
FLJ23151	G2/M
GTSE1	G2/M
HSPA1L	G2/M
HSPC216	G2/M
IDI2	G2/M
IGSF4	G2/M
INADL	G2/M
KIAA0008	G2/M
KIAA0042	G2/M
KIAA0097	G2/M
KIAA0170	G2/M
KIAA0176	G2/M
KIAA0239	G2/M
KIAA0618	G2/M
KIAA0675	G2/M
LBR	G2/M
LOC57168	G2/M
LPP	G2/M
MATN2	G2/M
MDS025	G2/M
MGC10911	G2/M
MGC13064	G2/M
MGC2577	G2/M
NUDE1	G2/M
NUF2R	G2/M
PIK3CD	G2/M
PLAG1	G2/M
PMSCL1	G2/M
RBM8A	G2/M
SEPN1	G2/M
SET07	G2/M
SFRS3	G2/M
SS18	G2/M
STCH	G2/M
TAB2	G2/M
VCAM1	G2/M
VIM	G2/M
ZNF207	G2/M
HMGB2	G2/M
CDK1	G2/M
NUSAP1	G2/M
TPX2	G2/M
NDC80	G2/M
NUF2	G2/M
CKS1B	G2/M
FAM64A	G2/M
SMC4	G2/M
CKAP2L	G2/M
CKAP2	G2/M
AURKB	G2/M
KIF11	G2/M
ANP32E	G2/M
TUBB4B	G2/M
KIF20B	G2/M
HJURP	G2/M
CDCA3	G2/M
HN1	G2/M
KIF2C	G2/M
RANGAP1	G2/M
NCAPD2	G2/M
DLGAP5	G2/M
CDCA2	G2/M
CDCA8	G2/M
ECT2	G2/M
KIF23	G2/M
AURKA	G2/M
PSRC1	G2/M
ANLN	G2/M
CKAP5	G2/M
G2E3	G2/M
GAS2L3	G2/M
CBX5	G2/M
PSCD2	G2
TRN2	G2
CDR2	G2
TTF2	G2
SMAP	G2
STAT5B	G2
RGS3	G2
ROCK1	G2
ITPR3	G2
NMB	G2
STAT1	G2
NR3C1	G2
HAN11	G2
DDX8	G2
STK9	G2
UBE2C	G2
MGAT2	G2
UK114	G2
TUBB	G2
FKBP1A	G2
CASP3	G2
CCNA2	G2
TFAP2A	G2
CDKN2C	G2
MET	G2
FADD	G2
KNSL1	G2
MAD2L1	G2
HEC	G2
KATNA1	G2
BUB3	G2
CDC16	G2
KNSL4	G2
AP3D1	G2
PPP1R2	G2
KNSL5	G2
POLQ	G2
KPNA2	G2
MID1	G2
TUBA3	G2
TIMP1	G2
KINESIN	G2
GAS1	G2
CDKN1B	G2
SMC4L1	G2
TRIP	G2
CDC25C	G2
SIL	G2
SCYB14	G2
FZR1	G2
CCNF	G2
HDAC3	G2
DF	G2
EBI3	G2
IL18BP	G2
ITGB3	G2
TUBA1	G2
AA455102	G2
TUBA2	G2
T56726	G2
AI336973	G2
ARL4	G2
C11orf5	G2
CEP4	G2
COPEB	G2
DJ328E19.C1.1	G2
dJ383J4.3	G2
DJ616B8.3	G2
DKFZP434J046	G2
DKFZP564D0462	G2
DKFZP566C134	G2
DKFZp762E1312	G2
FANCD	G2
FLJ10103	G2
FLJ10468	G2
FLJ10511	G2
FLJ10858	G2
FLJ11029	G2
FLJ14642	G2
FLJ20038	G2
FLJ20257	G2
FLJ20510	G2
FLJ20539	G2
FLJ20699	G2
FLJ22376	G2
FLJ22557	G2
FLJ22624	G2
FLJ23293	G2
GABPB2	G2
GAJ	G2
H2AFX	G2
HLA-DRA	G2
HMG2	G2
HSPC228	G2
IDN3	G2
KIAA0013	G2
KIAA0056	G2
KIAA0074	G2
KIAA0164	G2
KIAA0165	G2
KIAA0175	G2
KIAA0480	G2
KIAA0677	G2
KIAA0802	G2
KIAA1018	G2
KIAA1524	G2
KIAA1712	G2
KNSL2	G2
LMNB1	G2
LOC51004	G2
LOC51174	G2
LOC51700	G2
LTBP3	G2
MGC10540	G2
MGC13204	G2
MGC14386	G2
MGC20533	G2
MGC4675	G2
MUC1	G2
NNMT	G2
P5-1	G2
PIF1	G2
PKNOX1	G2
PRO0650	G2
PRO1073	G2
PSMD11	G2
RAD53	G2
SAP30	G2
SLC4A1AP	G2
STK12	G2
STK17B	G2
SV2B	G2
TMPO	G2
TOP2A	G2
UACA	G2
UBF-fl	G2
WISP1	G2
