HGNCID	Symbol	ChLocation	Chromosome	EnsemblID	GeneID
16486	HGNC:3385	EPHA1	7q34-q35	7	ENSG00000146904	2041
16487	HGNC:27799	EPHA1-AS1	7q35	7	ENSG00000229153	285965
16719	HGNC:5343	ICA1	7p21.3	7	ENSG00000003147	3382
16755	HGNC:28917	JAZF1	7p15.2-p15.1	7	ENSG00000153814	221895
17105	HGNC:16473	NME8	7p14.1	7	ENSG00000086288	51314
17137	HGNC:22009	NYAP1	7q22.1	7	ENSG00000166924	222950
17223	HGNC:20396	PILRA	7q22.1	7	ENSG00000085514	29992
17697	HGNC:18277	SEC61G	7p11.2	7	ENSG00000132432	23480
17795	HGNC:22564	SPATA48	7p12.2	7	ENSG00000164500	100130988
17799	HGNC:35462	SPDYE3	7q22.1	7	ENSG00000214300	441272
17910	HGNC:22407	TMEM106B	7p21.3	7	ENSG00000106460	54664
18122	HGNC:48955	UMAD1	7p21.3	7	ENSG00000219545	729852
18196	HGNC:23486	ZCWPW1	7q22.1	7	ENSG00000078487	55063
18416	HGNC:2095	CLU	8p21.1	8	ENSG00000120885	1191
18443	HGNC:2527	CTSB	8p23.1	8	ENSG00000164733	1508
19259	HGNC:9612	PTK2B	8p21.2	8	ENSG00000120899	2185
19620	HGNC:25321	SHARPIN	8q24.3	8	ENSG00000179526	81858
19899	HGNC:29	ABCA1	9q31.1	9	ENSG00000165029	19
21700	HGNC:494	ANK3	10q21.2	10	ENSG00000151150	288
21763	HGNC:14211	BLNK	10q24.1	10	ENSG00000095585	29760
21831	HGNC:18782	CCDC6	10q21.2	10	ENSG00000108091	8030
22008	HGNC:23489	ECHDC3	10p14	10	ENSG00000134463	79746
22727	HGNC:14335	PLEKHA1	10q26.13	10	ENSG00000107679	59338
23275	HGNC:23303	TSPAN14	10q23.1	10	ENSG00000108219	81619
23296	HGNC:16858	USP6NL	10p14	10	ENSG00000148429	9712
23636	HGNC:2549	CELF1	11p11.2	11	ENSG00000149187	10658
23785	HGNC:3188	EED	11q14.2	11	ENSG00000074266	8726
24275	HGNC:6766	MADD	11p11.2	11	ENSG00000110514	8567
24460	HGNC:7316	MS4A2	11q12.1	11	ENSG00000149534	2206
24462	HGNC:13371	MS4A4A	11q12.2	11	ENSG00000110079	51338
24465	HGNC:13375	MS4A6A	11q12.2	11	ENSG00000110077	64231
24466	HGNC:14285	MS4A6E	11q12.2	11	ENSG00000166926	245802
25053	HGNC:15514	PICALM	11q14.2	11	ENSG00000073921	8301
25584	HGNC:11185	SORL1	11q24.1	11	ENSG00000137642	6653
25592	HGNC:11241	SPI1	11p11.2	11	ENSG00000066336	6688
27829	HGNC:18182	TPCN1	12q24.13	12	ENSG00000186815	53373
29411	HGNC:15767	FERMT2	14q22.1	14	ENSG00000073712	10979
29561	HGNC:5525	IGHG1	14q32.33	14	ENSG00000211896	3500
29563	HGNC:5527	IGHG3	14q32.33	14	ENSG00000211897	3502
30243	HGNC:18751	RIN3	14q32.12	14	ENSG00000100599	79890
30533	HGNC:10978	SLC24A4	14q32.12	14	ENSG00000140090	123041
30912	HGNC:188	ADAM10	15q21.3	15	ENSG00000137845	102
30948	HGNC:24080	APH1B	15q22.2	15	ENSG00000138613	83464
31083	HGNC:2535	CTSH	15q25.1	15	ENSG00000103811	1512
31543	HGNC:26954	MINDY2	15q21.3-q22.1	15	ENSG00000128923	54629
32215	HGNC:11172	SNX1	15q22.31	15	ENSG00000028528	6642
32232	HGNC:30227	SPPL2A	15q21.2	15	ENSG00000138600	84888
32485	HGNC:16902	BCKDK	16p11.2	16	ENSG00000103507	10295
32706	HGNC:2985	DOC2A	16p11.2	16	ENSG00000149927	8448
32773	HGNC:3809	FOXF1	16q24.1	16	ENSG00000103241	2294
32899	HGNC:28529	IL34	16q22.1	16	ENSG00000157368	146433
32920	HGNC:17933	KAT8	16p11.2	16	ENSG00000103510	84148
33037	HGNC:6776	MAF	16q23.2	16	ENSG00000178573	4094
33360	HGNC:9066	PLCG2	16q24.1	16	ENSG00000197943	5336
33377	HGNC:9351	PRDM7	16q24.3	16	ENSG00000126856	11105
33974	HGNC:29859	ABI3	17q21.32	17	ENSG00000108798	51225
33981	HGNC:2707	ACE	17q23.3	17	ENSG00000159640	1636
34495	HGNC:4601	GRN	17q21.31	17	ENSG00000030582	2896
35047	HGNC:7594	MYO15A	17p11.2	17	ENSG00000091536	51168
35280	HGNC:17677	RABEP1	17p13.2	17	ENSG00000029725	9135
35614	HGNC:33504	SCIMP	17p13.2	17	ENSG00000161929	388325
35818	HGNC:32421	SUZ12P1	17q11.2	17	ENSG00000264538	440423
35989	HGNC:16831	TSPOAP1	17q22	17	ENSG00000005379	9256
35990	HGNC:44148	TSPOAP1-AS1	17q22	17	ENSG00000265148	100506779
36050	HGNC:26600	WDR81	17p13.3	17	ENSG00000167716	124997
36058	HGNC:12782	WNT3	17q21.31-q21.32	17	ENSG00000108379	7473
36114	HGNC:20565	ALPK2	18q21.31-q21.32	18	ENSG00000198796	115701
36225	HGNC:3049	DSG2	18q12.1	18	ENSG00000046604	1829
36838	HGNC:37	ABCA7	19p13.3	19	ENSG00000064687	10347
36889	HGNC:613	APOE	19q13.32	19	ENSG00000130203	348
37039	HGNC:1659	CD33	19q13.41	19	ENSG00000105383	945
37529	HGNC:16857	KLF16	19p13.3	19	ENSG00000129911	83855
37584	HGNC:6606	LILRB2	19q13.4	19	ENSG00000131042	10288
37951	HGNC:25208	NTN5	19q13.33	19	ENSG00000142233	126147
38432	HGNC:15622	SIGLEC11	19q13.33	19	ENSG00000161640	114132
39190	HGNC:15878	CASS4	20q13.31	20	ENSG00000087589	57091
39774	HGNC:15864	RBCK1	20p13	20	ENSG00000125826	10616
39986	HGNC:15930	SLC2A4RG	20q13.33	20	ENSG00000125520	56731
40191	HGNC:217	ADAMTS1	21q21.3	21	ENSG00000154734	9510
40201	HGNC:620	APP	21q21.3	21	ENSG00000142192	351
